Date,Days since collection,Site,Temperature treatment,pH treatment,Actual temperature experiment tank,Actual pH experiment tank,Actual temperature PAM tank,Actual pH PAM tank,Replicate,Respirometry channel,Respiration rate,Gross photosynthesis,Net photosynthesis,Alpha,rETRmax,Ik,Fv/Fm,NPQ630,Comments
6/25/22,3,Elliott Bay,5,7.4,8.4,7.287390915,8.7,7.287568062,1,2,-0.211505817,5.231815468,5.443321286,0.304,28.312,93.026,0.758,0.155,
6/25/22,3,Elliott Bay,5,7.4,8.4,7.287390915,8.7,7.287568062,2,4,-0.213616041,5.490225728,5.703841769,0.319,30.624,96.012,0.782,0.061,
6/25/22,3,Elliott Bay,5,7.4,8.4,7.287390915,8.7,7.287568062,3,5,-0.099521952,4.014592983,4.114114935,0.296,29.66,100.148,0.764,0.097,
6/25/22,3,Elliott Bay,5,7.4,8.4,7.287390915,8.7,7.287568062,4,7,-0.231082428,5.390353319,5.621435747,0.307,30.794,100.427,0.78,0.143,
6/25/22,3,Elliott Bay,5,7.4,8.4,7.287390915,8.7,7.287568062,5,8,-0.186500689,6.215388865,6.401889554,0.309,36.168,117.165,0.797,0.091,
6/25/22,3,Elliott Bay,5,7.4,8.4,7.287390915,8.7,7.287568062,6,9,-0.15211016,3.56792134,3.720031499,0.286,34.649,120.987,0.787,0.118,
8/16/22,2,Elliott Bay,5,7.7,7.1,7.69342866,8.1,7.662992879,1,2,-0.209920973,5.067029759,5.276950732,0.304,14.384,47.288,0.774,0.358,
8/16/22,2,Elliott Bay,5,7.7,7.1,7.69342866,8.1,7.662992879,2,4,-0.339104558,5.320224384,5.659328942,0.287,16.335,56.967,0.759,0.615,
8/16/22,2,Elliott Bay,5,7.7,7.1,7.69342866,8.1,7.662992879,3,5,-0.214090714,5.192494306,5.40658502,0.303,14.135,46.659,0.778,0.4,
8/16/22,2,Elliott Bay,5,7.7,7.1,7.69342866,8.1,7.662992879,4,7,-0.180434183,7.781834528,7.962268711,0.317,15.392,48.631,0.786,0.594,
8/16/22,2,Elliott Bay,5,7.7,7.1,7.69342866,8.1,7.662992879,5,8,-0.241327226,7.059398555,7.300725781,0.331,13.354,40.32,0.782,0.524,
